Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777517677,10,,Aggregated,0.500000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,277,0,72,7641.917299278568,16.538600000785664,32397.479799983557,342.18050541516243
1777517679,10,,Aggregated,0.300000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,278,0,72,7616.877548202075,16.538600000785664,32397.479799983557,342.1546762589928
1777517680,10,,Aggregated,0.300000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,278,0,72,7616.877548202075,16.538600000785664,32397.479799983557,342.1546762589928
1777517681,10,,Aggregated,0.300000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,278,0,72,7616.877548202075,16.538600000785664,32397.479799983557,342.1546762589928
1777517682,10,,Aggregated,0.300000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,278,0,72,7616.877548202075,16.538600000785664,32397.479799983557,342.1546762589928
1777517683,10,,Aggregated,0.700000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,279,0,72,7674.06744552037,16.538600000785664,32397.479799983557,342.4910394265233
1777517684,10,,Aggregated,0.700000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,279,0,72,7674.06744552037,16.538600000785664,32397.479799983557,342.4910394265233
1777517685,10,,Aggregated,0.600000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,280,0,72,7646.84744571496,16.538600000785664,32397.479799983557,341.53214285714284
1777517686,10,,Aggregated,0.600000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,280,0,72,7646.84744571496,16.538600000785664,32397.479799983557,341.53214285714284
1777517687,10,,Aggregated,0.600000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,280,0,72,7646.84744571496,16.538600000785664,32397.479799983557,341.53214285714284
1777517688,10,,Aggregated,0.700000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,283,0,72,7673.764515548243,16.538600000785664,32397.479799983557,341.82685512367493
1777517689,10,,Aggregated,0.700000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,283,0,72,7673.764515548243,16.538600000785664,32397.479799983557,341.82685512367493
1777517690,10,,Aggregated,0.700000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,283,0,72,7673.764515548243,16.538600000785664,32397.479799983557,341.82685512367493
1777517691,10,,Aggregated,0.700000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,283,0,72,7673.764515548243,16.538600000785664,32397.479799983557,341.82685512367493
1777517692,10,,Aggregated,0.700000,0.000000,72,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,283,0,72,7673.764515548243,16.538600000785664,32397.479799983557,341.82685512367493
1777517693,10,,Aggregated,0.500000,0.000000,73,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,284,0,72,7742.192501409028,16.538600000785664,32397.479799983557,341.8521126760563
1777517694,10,,Aggregated,0.500000,0.000000,73,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,284,0,72,7742.192501409028,16.538600000785664,32397.479799983557,341.8521126760563
1777517695,10,,Aggregated,0.500000,0.000000,73,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,284,0,72,7742.192501409028,16.538600000785664,32397.479799983557,341.8521126760563
1777517696,10,,Aggregated,0.500000,0.000000,74,2100,16000,22000,30000,30000,32000,32000,32000,32000,32000,286,0,73,7702.853914685883,16.538600000785664,32397.479799983557,342.06293706293707
1777517697,10,,Aggregated,0.500000,0.000000,74,2100,18000,24000,30000,30000,32000,32000,32000,32000,32000,289,0,74,7938.914254325977,16.538600000785664,32397.479799983557,342.85121107266434
1777517698,10,,Aggregated,0.400000,0.000000,74,2100,18000,24000,30000,30000,32000,32000,32000,32000,32000,290,0,74,7911.653701379969,16.538600000785664,32397.479799983557,341.92413793103447
1777517699,10,,Aggregated,0.600000,0.000000,74,2100,18000,23000,30000,30000,32000,32000,32000,32000,32000,291,0,74,7884.668724399275,16.538600000785664,32397.479799983557,341.9003436426117
1777517700,10,,Aggregated,0.700000,0.000000,73,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,293,0,73,7831.310862116675,16.538600000785664,32397.479799983557,341.9249146757679
1777517701,10,,Aggregated,0.700000,0.000000,73,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,294,0,72,7804.826922449608,16.538600000785664,32397.479799983557,341.01360544217687
1777517702,10,,Aggregated,0.800000,0.000000,72,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,295,0,72,7778.607604407382,16.538600000785664,32397.479799983557,340.99322033898306
1777517703,10,,Aggregated,1.000000,0.000000,72,2100,16000,23000,30000,30000,32000,32000,32000,32000,32000,297,0,72,7726.632158923129,16.538600000785664,32397.479799983557,340.95286195286195
1777517704,10,,Aggregated,1.100000,0.000000,72,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,298,0,72,7801.051336913307,16.538600000785664,32397.479799983557,341.2718120805369
1777517705,10,,Aggregated,1.200000,0.000000,72,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,299,0,72,7775.155694649402,16.538600000785664,32397.479799983557,341.32107023411373
1777517706,10,,Aggregated,1.300000,0.000000,72,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,300,0,72,7749.404408333941,16.538600000785664,32397.479799983557,341.3
1777517707,10,,Aggregated,1.300000,0.000000,72,2100,16000,23000,30000,30000,32000,32000,32000,32000,32000,301,0,72,7723.858931562009,16.538600000785664,32397.479799983557,341.3488372093023
1777517708,10,,Aggregated,1.500000,0.000000,72,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,303,0,72,7764.942321122687,16.538600000785664,32397.479799983557,341.63366336633663
1777517709,10,,Aggregated,1.500000,0.000000,72,2100,17000,23000,30000,30000,32000,32000,32000,32000,32000,304,0,72,7739.574275658493,16.538600000785664,32397.479799983557,341.6118421052632
1777517710,10,,Aggregated,1.300000,0.000000,72,2100,16000,23000,30000,30000,32000,32000,32000,32000,32000,305,0,72,7714.412280000636,16.538600000785664,32397.479799983557,341.59016393442624
1777521346,10,,Aggregated,1.300000,0.000000,72,2100,16000,23000,30000,30000,32000,32000,32000,32000,32000,306,0,72,7689.415265360141,16.538600000785664,32397.479799983557,341.5686274509804
1777521347,10,,Aggregated,0.000000,0.000000,72,2100,18000,24000,30000,30000,32000,32000,3644000,3644000,3644000,308,2,72,31280.64589090978,16.538600000785664,3644220.7581000114,339.35064935064935
1777521348,10,,Aggregated,0.000000,0.000000,72,2100,18000,24000,30000,30000,32000,32000,3661000,3661000,3661000,309,2,72,43028.71179579351,16.538600000785664,3661433.0104999826,339.7119741100324
1777521349,10,,Aggregated,0.000000,0.000000,72,2100,18000,24000,30000,30000,32000,32000,3661000,3661000,3661000,309,2,72,43028.71179579351,16.538600000785664,3661433.0104999826,339.7119741100324
1777521350,10,,Aggregated,0.200000,0.200000,72,2100,18000,24000,30000,30000,32000,32000,3661000,3661000,3661000,310,2,72,42890.11094871027,16.538600000785664,3661433.0104999826,339.6967741935484
1777521351,10,,Aggregated,0.300000,0.200000,72,2100,18000,24000,30000,30000,32000,32000,3661000,3661000,3661000,311,2,72,42752.39448617414,16.538600000785664,3661433.0104999826,339.68167202572346
1777521352,10,,Aggregated,0.400000,0.200000,72,2100,18000,24000,30000,31000,32000,3637000,3661000,3661000,3661000,313,2,72,54165.868796486095,16.538600000785664,3661433.0104999826,338.9297124600639
1777521353,10,,Aggregated,0.400000,0.200000,72,2100,18000,24000,30000,31000,32000,3637000,3661000,3661000,3661000,315,2,72,53822.256346032234,16.538600000785664,3661433.0104999826,338.9047619047619
1777521354,10,,Aggregated,0.400000,0.200000,72,2100,18000,24000,30000,31000,32000,3637000,3661000,3661000,3661000,315,2,72,53822.256346032234,16.538600000785664,3661433.0104999826,338.9047619047619
1777521355,10,,Aggregated,0.700000,0.200000,72,2100,18000,24000,30000,31000,32000,3644000,3661000,3661000,3661000,317,2,72,65018.62706719293,16.538600000785664,3661433.0104999826,339.205047318612
1777521356,10,,Aggregated,0.700000,0.200000,72,2100,18000,24000,30000,31000,32000,3644000,3661000,3661000,3661000,317,2,72,65018.62706719293,16.538600000785664,3661433.0104999826,339.205047318612
